,filters,batch_size,kernel_size,dilation_rate,num_res_blocks,lookback_window,forecast_window,test_partition
0,128.0,24.0,128.0,3.0,0.0,168.0,6.0,0.0
1,128.0,24.0,128.0,3.0,0.0,168.0,6.0,1.0
2,128.0,24.0,128.0,3.0,0.0,168.0,6.0,2.0
3,128.0,24.0,128.0,3.0,0.0,168.0,6.0,3.0
4,128.0,24.0,128.0,3.0,0.0,168.0,6.0,4.0
5,128.0,24.0,128.0,3.0,0.0,168.0,12.0,0.0
6,128.0,24.0,128.0,3.0,0.0,168.0,12.0,1.0
7,128.0,24.0,128.0,3.0,0.0,168.0,12.0,2.0
8,128.0,24.0,128.0,3.0,0.0,168.0,12.0,3.0
9,128.0,24.0,128.0,3.0,0.0,168.0,12.0,4.0
10,128.0,24.0,128.0,3.0,0.0,168.0,24.0,0.0
11,128.0,24.0,128.0,3.0,0.0,168.0,24.0,1.0
12,128.0,24.0,128.0,3.0,0.0,168.0,24.0,2.0
13,128.0,24.0,128.0,3.0,0.0,168.0,24.0,3.0
14,128.0,24.0,128.0,3.0,0.0,168.0,24.0,4.0
15,128.0,24.0,128.0,3.0,0.0,336.0,6.0,0.0
16,128.0,24.0,128.0,3.0,0.0,336.0,6.0,1.0
17,128.0,24.0,128.0,3.0,0.0,336.0,6.0,2.0
18,128.0,24.0,128.0,3.0,0.0,336.0,6.0,3.0
19,128.0,24.0,128.0,3.0,0.0,336.0,6.0,4.0
20,128.0,24.0,128.0,3.0,0.0,336.0,12.0,0.0
21,128.0,24.0,128.0,3.0,0.0,336.0,12.0,1.0
22,128.0,24.0,128.0,3.0,0.0,336.0,12.0,2.0
23,128.0,24.0,128.0,3.0,0.0,336.0,12.0,3.0
24,128.0,24.0,128.0,3.0,0.0,336.0,12.0,4.0
25,128.0,24.0,128.0,3.0,0.0,336.0,24.0,0.0
26,128.0,24.0,128.0,3.0,0.0,336.0,24.0,1.0
27,128.0,24.0,128.0,3.0,0.0,336.0,24.0,2.0
28,128.0,24.0,128.0,3.0,0.0,336.0,24.0,3.0
29,128.0,24.0,128.0,3.0,0.0,336.0,24.0,4.0
30,128.0,24.0,128.0,3.0,0.0,672.0,6.0,0.0
31,128.0,24.0,128.0,3.0,0.0,672.0,6.0,1.0
32,128.0,24.0,128.0,3.0,0.0,672.0,6.0,2.0
33,128.0,24.0,128.0,3.0,0.0,672.0,6.0,3.0
34,128.0,24.0,128.0,3.0,0.0,672.0,6.0,4.0
35,128.0,24.0,128.0,3.0,0.0,672.0,12.0,0.0
36,128.0,24.0,128.0,3.0,0.0,672.0,12.0,1.0
37,128.0,24.0,128.0,3.0,0.0,672.0,12.0,2.0
38,128.0,24.0,128.0,3.0,0.0,672.0,12.0,3.0
39,128.0,24.0,128.0,3.0,0.0,672.0,12.0,4.0
40,128.0,24.0,128.0,3.0,0.0,672.0,24.0,0.0
41,128.0,24.0,128.0,3.0,0.0,672.0,24.0,1.0
42,128.0,24.0,128.0,3.0,0.0,672.0,24.0,2.0
43,128.0,24.0,128.0,3.0,0.0,672.0,24.0,3.0
44,128.0,24.0,128.0,3.0,0.0,672.0,24.0,4.0
45,128.0,24.0,128.0,3.0,1.0,168.0,6.0,0.0
46,128.0,24.0,128.0,3.0,1.0,168.0,6.0,1.0
47,128.0,24.0,128.0,3.0,1.0,168.0,6.0,2.0
48,128.0,24.0,128.0,3.0,1.0,168.0,6.0,3.0
49,128.0,24.0,128.0,3.0,1.0,168.0,6.0,4.0
50,128.0,24.0,128.0,3.0,1.0,168.0,12.0,0.0
51,128.0,24.0,128.0,3.0,1.0,168.0,12.0,1.0
52,128.0,24.0,128.0,3.0,1.0,168.0,12.0,2.0
53,128.0,24.0,128.0,3.0,1.0,168.0,12.0,3.0
54,128.0,24.0,128.0,3.0,1.0,168.0,12.0,4.0
55,128.0,24.0,128.0,3.0,1.0,168.0,24.0,0.0
56,128.0,24.0,128.0,3.0,1.0,168.0,24.0,1.0
57,128.0,24.0,128.0,3.0,1.0,168.0,24.0,2.0
58,128.0,24.0,128.0,3.0,1.0,168.0,24.0,3.0
59,128.0,24.0,128.0,3.0,1.0,168.0,24.0,4.0
60,128.0,24.0,128.0,3.0,1.0,336.0,6.0,0.0
61,128.0,24.0,128.0,3.0,1.0,336.0,6.0,1.0
62,128.0,24.0,128.0,3.0,1.0,336.0,6.0,2.0
63,128.0,24.0,128.0,3.0,1.0,336.0,6.0,3.0
64,128.0,24.0,128.0,3.0,1.0,336.0,6.0,4.0
65,128.0,24.0,128.0,3.0,1.0,336.0,12.0,0.0
66,128.0,24.0,128.0,3.0,1.0,336.0,12.0,1.0
67,128.0,24.0,128.0,3.0,1.0,336.0,12.0,2.0
68,128.0,24.0,128.0,3.0,1.0,336.0,12.0,3.0
69,128.0,24.0,128.0,3.0,1.0,336.0,12.0,4.0
70,128.0,24.0,128.0,3.0,1.0,336.0,24.0,0.0
71,128.0,24.0,128.0,3.0,1.0,336.0,24.0,1.0
72,128.0,24.0,128.0,3.0,1.0,336.0,24.0,2.0
73,128.0,24.0,128.0,3.0,1.0,336.0,24.0,3.0
74,128.0,24.0,128.0,3.0,1.0,336.0,24.0,4.0
75,128.0,24.0,128.0,3.0,1.0,672.0,6.0,0.0
76,128.0,24.0,128.0,3.0,1.0,672.0,6.0,1.0
77,128.0,24.0,128.0,3.0,1.0,672.0,6.0,2.0
78,128.0,24.0,128.0,3.0,1.0,672.0,6.0,3.0
79,128.0,24.0,128.0,3.0,1.0,672.0,6.0,4.0
80,128.0,24.0,128.0,3.0,1.0,672.0,12.0,0.0
81,128.0,24.0,128.0,3.0,1.0,672.0,12.0,1.0
82,128.0,24.0,128.0,3.0,1.0,672.0,12.0,2.0
83,128.0,24.0,128.0,3.0,1.0,672.0,12.0,3.0
84,128.0,24.0,128.0,3.0,1.0,672.0,12.0,4.0
85,128.0,24.0,128.0,3.0,1.0,672.0,24.0,0.0
86,128.0,24.0,128.0,3.0,1.0,672.0,24.0,1.0
87,128.0,24.0,128.0,3.0,1.0,672.0,24.0,2.0
88,128.0,24.0,128.0,3.0,1.0,672.0,24.0,3.0
89,128.0,24.0,128.0,3.0,1.0,672.0,24.0,4.0
90,128.0,24.0,128.0,3.0,2.0,168.0,6.0,0.0
91,128.0,24.0,128.0,3.0,2.0,168.0,6.0,1.0
92,128.0,24.0,128.0,3.0,2.0,168.0,6.0,2.0
93,128.0,24.0,128.0,3.0,2.0,168.0,6.0,3.0
94,128.0,24.0,128.0,3.0,2.0,168.0,6.0,4.0
95,128.0,24.0,128.0,3.0,2.0,168.0,12.0,0.0
96,128.0,24.0,128.0,3.0,2.0,168.0,12.0,1.0
97,128.0,24.0,128.0,3.0,2.0,168.0,12.0,2.0
98,128.0,24.0,128.0,3.0,2.0,168.0,12.0,3.0
99,128.0,24.0,128.0,3.0,2.0,168.0,12.0,4.0
100,128.0,24.0,128.0,3.0,2.0,168.0,24.0,0.0
101,128.0,24.0,128.0,3.0,2.0,168.0,24.0,1.0
102,128.0,24.0,128.0,3.0,2.0,168.0,24.0,2.0
103,128.0,24.0,128.0,3.0,2.0,168.0,24.0,3.0
104,128.0,24.0,128.0,3.0,2.0,168.0,24.0,4.0
105,128.0,24.0,128.0,3.0,2.0,336.0,6.0,0.0
106,128.0,24.0,128.0,3.0,2.0,336.0,6.0,1.0
107,128.0,24.0,128.0,3.0,2.0,336.0,6.0,2.0
108,128.0,24.0,128.0,3.0,2.0,336.0,6.0,3.0
109,128.0,24.0,128.0,3.0,2.0,336.0,6.0,4.0
110,128.0,24.0,128.0,3.0,2.0,336.0,12.0,0.0
111,128.0,24.0,128.0,3.0,2.0,336.0,12.0,1.0
112,128.0,24.0,128.0,3.0,2.0,336.0,12.0,2.0
113,128.0,24.0,128.0,3.0,2.0,336.0,12.0,3.0
114,128.0,24.0,128.0,3.0,2.0,336.0,12.0,4.0
115,128.0,24.0,128.0,3.0,2.0,336.0,24.0,0.0
116,128.0,24.0,128.0,3.0,2.0,336.0,24.0,1.0
117,128.0,24.0,128.0,3.0,2.0,336.0,24.0,2.0
118,128.0,24.0,128.0,3.0,2.0,336.0,24.0,3.0
119,128.0,24.0,128.0,3.0,2.0,336.0,24.0,4.0
120,128.0,24.0,128.0,3.0,2.0,672.0,6.0,0.0
121,128.0,24.0,128.0,3.0,2.0,672.0,6.0,1.0
122,128.0,24.0,128.0,3.0,2.0,672.0,6.0,2.0
123,128.0,24.0,128.0,3.0,2.0,672.0,6.0,3.0
124,128.0,24.0,128.0,3.0,2.0,672.0,6.0,4.0
125,128.0,24.0,128.0,3.0,2.0,672.0,12.0,0.0
126,128.0,24.0,128.0,3.0,2.0,672.0,12.0,1.0
127,128.0,24.0,128.0,3.0,2.0,672.0,12.0,2.0
128,128.0,24.0,128.0,3.0,2.0,672.0,12.0,3.0
129,128.0,24.0,128.0,3.0,2.0,672.0,12.0,4.0
130,128.0,24.0,128.0,3.0,2.0,672.0,24.0,0.0
131,128.0,24.0,128.0,3.0,2.0,672.0,24.0,1.0
132,128.0,24.0,128.0,3.0,2.0,672.0,24.0,2.0
133,128.0,24.0,128.0,3.0,2.0,672.0,24.0,3.0
134,128.0,24.0,128.0,3.0,2.0,672.0,24.0,4.0
135,128.0,24.0,128.0,5.0,0.0,168.0,6.0,0.0
136,128.0,24.0,128.0,5.0,0.0,168.0,6.0,1.0
137,128.0,24.0,128.0,5.0,0.0,168.0,6.0,2.0
138,128.0,24.0,128.0,5.0,0.0,168.0,6.0,3.0
139,128.0,24.0,128.0,5.0,0.0,168.0,6.0,4.0
140,128.0,24.0,128.0,5.0,0.0,168.0,12.0,0.0
141,128.0,24.0,128.0,5.0,0.0,168.0,12.0,1.0
142,128.0,24.0,128.0,5.0,0.0,168.0,12.0,2.0
143,128.0,24.0,128.0,5.0,0.0,168.0,12.0,3.0
144,128.0,24.0,128.0,5.0,0.0,168.0,12.0,4.0
145,128.0,24.0,128.0,5.0,0.0,168.0,24.0,0.0
146,128.0,24.0,128.0,5.0,0.0,168.0,24.0,1.0
147,128.0,24.0,128.0,5.0,0.0,168.0,24.0,2.0
148,128.0,24.0,128.0,5.0,0.0,168.0,24.0,3.0
149,128.0,24.0,128.0,5.0,0.0,168.0,24.0,4.0
150,128.0,24.0,128.0,5.0,0.0,336.0,6.0,0.0
151,128.0,24.0,128.0,5.0,0.0,336.0,6.0,1.0
152,128.0,24.0,128.0,5.0,0.0,336.0,6.0,2.0
153,128.0,24.0,128.0,5.0,0.0,336.0,6.0,3.0
154,128.0,24.0,128.0,5.0,0.0,336.0,6.0,4.0
155,128.0,24.0,128.0,5.0,0.0,336.0,12.0,0.0
156,128.0,24.0,128.0,5.0,0.0,336.0,12.0,1.0
157,128.0,24.0,128.0,5.0,0.0,336.0,12.0,2.0
158,128.0,24.0,128.0,5.0,0.0,336.0,12.0,3.0
159,128.0,24.0,128.0,5.0,0.0,336.0,12.0,4.0
160,128.0,24.0,128.0,5.0,0.0,336.0,24.0,0.0
161,128.0,24.0,128.0,5.0,0.0,336.0,24.0,1.0
162,128.0,24.0,128.0,5.0,0.0,336.0,24.0,2.0
163,128.0,24.0,128.0,5.0,0.0,336.0,24.0,3.0
164,128.0,24.0,128.0,5.0,0.0,336.0,24.0,4.0
165,128.0,24.0,128.0,5.0,0.0,672.0,6.0,0.0
166,128.0,24.0,128.0,5.0,0.0,672.0,6.0,1.0
167,128.0,24.0,128.0,5.0,0.0,672.0,6.0,2.0
168,128.0,24.0,128.0,5.0,0.0,672.0,6.0,3.0
169,128.0,24.0,128.0,5.0,0.0,672.0,6.0,4.0
170,128.0,24.0,128.0,5.0,0.0,672.0,12.0,0.0
171,128.0,24.0,128.0,5.0,0.0,672.0,12.0,1.0
172,128.0,24.0,128.0,5.0,0.0,672.0,12.0,2.0
173,128.0,24.0,128.0,5.0,0.0,672.0,12.0,3.0
174,128.0,24.0,128.0,5.0,0.0,672.0,12.0,4.0
175,128.0,24.0,128.0,5.0,0.0,672.0,24.0,0.0
176,128.0,24.0,128.0,5.0,0.0,672.0,24.0,1.0
177,128.0,24.0,128.0,5.0,0.0,672.0,24.0,2.0
178,128.0,24.0,128.0,5.0,0.0,672.0,24.0,3.0
