OpenTime,Open,High,Low,Close,Volume,Date
1514764800.0,8.54780000,8.54780000,8.24600000,8.3559,49487.14000000,2018-01-01 00:00:00.000000000
1514768400.0,8.35580000,8.39970000,8.13050000,8.2199,24992.63000000,2018-01-01 01:00:00.000000000
1514772000.0,8.22000000,8.34880000,8.20200000,8.2235,28933.00000000,2018-01-01 02:00:00.000000000
1514775600.0,8.29720000,8.43260000,8.22820000,8.3401,32931.17000000,2018-01-01 03:00:00.000000000
1514779200.0,8.36120000,8.50000000,8.34100000,8.5,14602.55000000,2018-01-01 04:00:00.000000000
1514782800.0,8.48540000,8.70000000,8.41500000,8.4404,21687.02000000,2018-01-01 05:00:00.000000000
1514786400.0,8.45310000,8.58090000,8.41800000,8.5532,12694.10000000,2018-01-01 06:00:00.000000000
1514790000.0,8.55330000,8.66000000,8.34540000,8.36,51321.03000000,2018-01-01 07:00:00.000000000
1514793600.0,8.38520000,8.53000000,8.33340000,8.3706,22876.57000000,2018-01-01 08:00:00.000000000
1514797200.0,8.39270000,8.47280000,8.33550000,8.4405,16237.59000000,2018-01-01 09:00:00.000000000
1514800800.0,8.44050000,8.44090000,8.33330000,8.3827,13427.35000000,2018-01-01 10:00:00.000000000
1514804400.0,8.38270000,8.38270000,8.07030000,8.1599,61064.40000000,2018-01-01 11:00:00.000000000
1514808000.0,8.18000000,8.33000000,8.11440000,8.2,29120.78000000,2018-01-01 12:00:00.000000000
1514811600.0,8.20000000,8.21200000,7.92850000,7.9523,47744.93000000,2018-01-01 13:00:00.000000000
1514815200.0,7.96420000,8.18290000,7.80000000,8.0944,49573.26000000,2018-01-01 14:00:00.000000000
1514818800.0,8.11700000,8.20000000,8.02030000,8.1101,30322.87000000,2018-01-01 15:00:00.000000000
1514822400.0,8.11600000,8.13360000,8.00000000,8.0101,20182.41000000,2018-01-01 16:00:00.000000000
1514826000.0,8.01930000,8.17780000,8.00020000,8.0019,16050.75000000,2018-01-01 17:00:00.000000000
1514829600.0,8.00190000,8.10000000,7.95920000,8.0647,12765.57000000,2018-01-01 18:00:00.000000000
1514833200.0,8.05100000,8.15000000,8.02000000,8.115,12917.09000000,2018-01-01 19:00:00.000000000
1514836800.0,8.11500000,8.26640000,8.07000000,8.1919,20186.84000000,2018-01-01 20:00:00.000000000
1514840400.0,8.19200000,8.34990000,8.17070000,8.3229,14140.21000000,2018-01-01 21:00:00.000000000
1514844000.0,8.30080000,8.40000000,8.29460000,8.3706,21459.41000000,2018-01-01 22:00:00.000000000
1514847600.0,8.35500000,8.45000000,8.31130000,8.45,29620.17000000,2018-01-01 23:00:00.000000000
1514851200.0,8.45000000,8.65990000,8.41010000,8.5801,56771.86000000,2018-01-02 00:00:00.000000000
1514854800.0,8.58070000,8.60000000,8.35110000,8.4501,48029.84000000,2018-01-02 01:00:00.000000000
1514858400.0,8.47070000,8.64980000,8.34000000,8.585,86339.45000000,2018-01-02 02:00:00.000000000
1514862000.0,8.58500000,8.58500000,8.34000000,8.3986,54246.09000000,2018-01-02 03:00:00.000000000
1514865600.0,8.39870000,8.43460000,8.09220000,8.2472,62416.84000000,2018-01-02 04:00:00.000000000
1514869200.0,8.24720000,8.34900000,8.11500000,8.2465,26441.40000000,2018-01-02 05:00:00.000000000
1514872800.0,8.24630000,8.31000000,8.12020000,8.2658,28294.22000000,2018-01-02 06:00:00.000000000
1514876400.0,8.28390000,8.32000000,8.21100000,8.31,18417.28000000,2018-01-02 07:00:00.000000000
1514880000.0,8.31000000,8.40000000,8.28680000,8.3,18405.24000000,2018-01-02 08:00:00.000000000
1514883600.0,8.30000000,8.47000000,8.30000000,8.4528,33788.83000000,2018-01-02 09:00:00.000000000
1514887200.0,8.45270000,8.53990000,8.40070000,8.4716,26001.43000000,2018-01-02 10:00:00.000000000
1514890800.0,8.49420000,8.50000000,8.37710000,8.4244,28144.77000000,2018-01-02 11:00:00.000000000
1514894400.0,8.44060000,8.49380000,8.42510000,8.45,22803.01000000,2018-01-02 12:00:00.000000000
1514898000.0,8.46010000,8.70350000,8.43610000,8.69,100595.41000000,2018-01-02 13:00:00.000000000
1514901600.0,8.69000000,8.75100000,8.50060000,8.576,45236.40000000,2018-01-02 14:00:00.000000000
1514905200.0,8.57600000,8.62010000,8.45890000,8.565,36118.91000000,2018-01-02 15:00:00.000000000
1514908800.0,8.56500000,8.69000000,8.52600000,8.5739,64828.63000000,2018-01-02 16:00:00.000000000
1514912400.0,8.56800000,8.66980000,8.52000000,8.6501,22409.03000000,2018-01-02 17:00:00.000000000
