OpenTime,Open,High,Low,Close,Volume,Date
1597791600.0,2.09000000,4.44000000,2.00000000,3.1,6039881.97000000,2020-08-18 23:00:00
1597795200.0,3.10000000,3.14000000,2.97380000,3.105,1554670.37000000,2020-08-19 00:00:00
1597798800.0,3.10500000,3.12990000,3.05840000,3.1063,813079.44000000,2020-08-19 01:00:00
1597802400.0,3.10820000,3.11240000,2.90000000,2.9628,1472769.86000000,2020-08-19 02:00:00
1597806000.0,2.96310000,3.00320000,2.64000000,2.885,1768853.60000000,2020-08-19 03:00:00
1597809600.0,2.88500000,3.06800000,2.81100000,2.9336,1328188.15000000,2020-08-19 04:00:00
1597813200.0,2.93340000,3.07550000,2.87500000,2.9255,798876.03000000,2020-08-19 05:00:00
1597816800.0,2.92550000,3.04000000,2.90000000,3.0095,534111.70000000,2020-08-19 06:00:00
1597820400.0,3.00950000,3.19990000,2.99110000,3.195,1717178.18000000,2020-08-19 07:00:00
1597824000.0,3.19500000,3.19500000,3.01000000,3.0362,682238.57000000,2020-08-19 08:00:00
1597827600.0,3.03610000,3.13000000,3.01020000,3.0401,473679.67000000,2020-08-19 09:00:00
1597831200.0,3.04970000,3.09000000,2.90000000,3.0014,495485.40000000,2020-08-19 10:00:00
1597834800.0,3.00060000,3.01000000,2.93000000,3.0,309270.07000000,2020-08-19 11:00:00
1597838400.0,3.00000000,3.00060000,2.90000000,2.9897,429332.76000000,2020-08-19 12:00:00
1597842000.0,2.98980000,3.00780000,2.90110000,2.9354,589033.02000000,2020-08-19 13:00:00
1597845600.0,2.94310000,3.00800000,2.93530000,2.9934,344814.45000000,2020-08-19 14:00:00
1597849200.0,2.99360000,2.99360000,2.94000000,2.9401,331131.03000000,2020-08-19 15:00:00
1597852800.0,2.94250000,3.02980000,2.91670000,3.0002,358252.08000000,2020-08-19 16:00:00
1597856400.0,3.00020000,3.01810000,2.95050000,2.982,180675.59000000,2020-08-19 17:00:00
1597860000.0,2.98300000,2.99560000,2.76220000,2.9,439835.25000000,2020-08-19 18:00:00
1597863600.0,2.90000000,2.94910000,2.72000000,2.8027,392959.28000000,2020-08-19 19:00:00
1597867200.0,2.80270000,2.90650000,2.79180000,2.8994,198732.77000000,2020-08-19 20:00:00
1597870800.0,2.89910000,3.00780000,2.88170000,2.995,213537.92000000,2020-08-19 21:00:00
1597874400.0,2.99970000,3.03500000,2.93330000,2.9388,286635.99000000,2020-08-19 22:00:00
1597878000.0,2.93510000,2.98680000,2.90010000,2.95,182433.74000000,2020-08-19 23:00:00
1597881600.0,2.94490000,2.99900000,2.85940000,2.8864,262916.69000000,2020-08-20 00:00:00
1597885200.0,2.88190000,2.91990000,2.85000000,2.9001,241812.63000000,2020-08-20 01:00:00
1597888800.0,2.90010000,2.91050000,2.72000000,2.7631,596815.47000000,2020-08-20 02:00:00
1597892400.0,2.75750000,2.82000000,2.71500000,2.75,314506.90000000,2020-08-20 03:00:00
1597896000.0,2.75000000,2.80000000,2.72050000,2.758,271646.39000000,2020-08-20 04:00:00
1597899600.0,2.75310000,2.77440000,2.67590000,2.7344,291642.29000000,2020-08-20 05:00:00
1597903200.0,2.73450000,2.78540000,2.68330000,2.7555,261773.52000000,2020-08-20 06:00:00
1597906800.0,2.76620000,2.91500000,2.76620000,2.835,394024.68000000,2020-08-20 07:00:00
1597910400.0,2.83110000,2.88860000,2.80380000,2.8505,188996.27000000,2020-08-20 08:00:00
1597914000.0,2.84230000,2.89650000,2.83130000,2.8488,172986.32000000,2020-08-20 09:00:00
1597917600.0,2.84540000,2.86000000,2.78030000,2.85,537375.77000000,2020-08-20 10:00:00
1597921200.0,2.84990000,2.89500000,2.84410000,2.8715,409575.36000000,2020-08-20 11:00:00
1597924800.0,2.87150000,2.93980000,2.85000000,2.8562,439185.79000000,2020-08-20 12:00:00
1597928400.0,2.85620000,2.88270000,2.81330000,2.8342,230770.04000000,2020-08-20 13:00:00
1597932000.0,2.83510000,2.87190000,2.80000000,2.8709,302249.65000000,2020-08-20 14:00:00
1597935600.0,2.87070000,3.03000000,2.85470000,3.0117,832567.64000000,2020-08-20 15:00:00
1597939200.0,3.00720000,3.11110000,2.98350000,3.0546,701312.17000000,2020-08-20 16:00:00
1597942800.0,3.05020000,3.10000000,2.99010000,3.0286,410177.89000000,2020-08-20 17:00:00
1597946400.0,3.02890000,3.02900000,2.86000000,2.88,544690.31000000,2020-08-20 18:00:00
1597950000.0,2.87030000,2.91690000,2.82000000,2.8832,719112.74000000,2020-08-20 19:00:00
1597953600.0,2.88320000,2.89250000,2.81000000,2.815,399841.09000000,2020-08-20 20:00:00
1597957200.0,2.81500000,3.00000000,2.78000000,2.7946,553692.61000000,2020-08-20 21:00:00
1597960800.0,2.79870000,2.85180000,2.60000000,2.7733,1526847.73000000,2020-08-20 22:00:00
1597964400.0,2.77210000,2.91470000,2.77000000,2.9,436343.65000000,2020-08-20 23:00:00
1597968000.0,2.89780000,2.92400000,2.88040000,2.9049,267995.23000000,2020-08-21 00:00:00
1597971600.0,2.90890000,2.95700000,2.90380000,2.9409,353856.20000000,2020-08-21 01:00:00
1597975200.0,2.94080000,2.95000000,2.68960000,2.7091,919237.68000000,2020-08-21 02:00:00
1597978800.0,2.70900000,2.85840000,2.68260000,2.8303,472969.16000000,2020-08-21 03:00:00
1597982400.0,2.84070000,2.89000000,2.79030000,2.8321,465335.99000000,2020-08-21 04:00:00
1597986000.0,2.83360000,2.89900000,2.80010000,2.8641,248915.80000000,2020-08-21 05:00:00
1597989600.0,2.86790000,2.92180000,2.85000000,2.9075,599494.13000000,2020-08-21 06:00:00
1597993200.0,2.90600000,2.95120000,2.86530000,2.9512,349575.67000000,2020-08-21 07:00:00
1597996800.0,2.95100000,3.09000000,2.94500000,3.0451,780840.73000000,2020-08-21 08:00:00
1598000400.0,3.04010000,3.08990000,2.90100000,2.901,573826.41000000,2020-08-21 09:00:00
1598004000.0,2.90100000,3.02710000,2.89670000,3.0095,456671.15000000,2020-08-21 10:00:00
1598007600.0,3.00250000,3.01990000,2.84000000,2.8951,317167.35000000,2020-08-21 11:00:00
1598011200.0,2.89540000,2.96960000,2.83110000,2.9593,286613.15000000,2020-08-21 12:00:00
1598014800.0,2.95930000,2.96660000,2.92000000,2.9302,257702.64000000,2020-08-21 13:00:00
1598018400.0,2.93020000,2.95090000,2.86000000,2.9367,405485.47000000,2020-08-21 14:00:00
1598022000.0,2.93670000,2.94930000,2.86710000,2.9116,366741.49000000,2020-08-21 15:00:00
1598025600.0,2.91060000,2.93850000,2.87930000,2.9335,160000.61000000,2020-08-21 16:00:00
1598029200.0,2.93250000,2.97170000,2.91000000,2.9375,176840.05000000,2020-08-21 17:00:00
1598032800.0,2.93470000,3.00000000,2.89000000,3.0,372935.34000000,2020-08-21 18:00:00
1598036400.0,3.00000000,3.02800000,2.84410000,2.9274,866974.62000000,2020-08-21 19:00:00
1598040000.0,2.92380000,2.98820000,2.84370000,2.8922,368468.12000000,2020-08-21 20:00:00
1598043600.0,2.89870000,2.93300000,2.86000000,2.8912,239905.21000000,2020-08-21 21:00:00
1598047200.0,2.88540000,2.91280000,2.82000000,2.8515,300320.34000000,2020-08-21 22:00:00
1598050800.0,2.85570000,2.90920000,2.83040000,2.833,157281.20000000,2020-08-21 23:00:00
1598054400.0,2.83870000,2.87000000,2.78200000,2.81,300185.74000000,2020-08-22 00:00:00
1598058000.0,2.81000000,2.86420000,2.78300000,2.84,306438.46000000,2020-08-22 01:00:00
1598061600.0,2.84000000,2.87000000,2.82000000,2.8577,138519.70000000,2020-08-22 02:00:00
1598065200.0,2.85710000,2.94860000,2.85200000,2.9398,277529.92000000,2020-08-22 03:00:00
1598068800.0,2.93610000,2.94210000,2.86750000,2.9133,245989.27000000,2020-08-22 04:00:00
1598072400.0,2.91020000,2.96000000,2.87430000,2.9301,243998.09000000,2020-08-22 05:00:00
1598076000.0,2.93540000,2.96020000,2.90150000,2.9581,265596.79000000,2020-08-22 06:00:00
1598079600.0,2.95520000,3.68680000,2.95450000,3.41,5083463.17000000,2020-08-22 07:00:00
1598083200.0,3.41220000,3.82000000,3.21100000,3.8003,3649898.18000000,2020-08-22 08:00:00
1598086800.0,3.81880000,4.01900000,3.60200000,3.8997,4129048.33000000,2020-08-22 09:00:00
1598090400.0,3.89200000,3.98000000,3.63630000,3.82,2701590.43000000,2020-08-22 10:00:00
1598094000.0,3.82000000,3.86000000,3.65000000,3.8153,1431392.79000000,2020-08-22 11:00:00
1598097600.0,3.82050000,3.85000000,3.50100000,3.6415,2522718.64000000,2020-08-22 12:00:00
1598101200.0,3.64140000,4.03130000,3.63500000,3.8149,2686263.20000000,2020-08-22 13:00:00
1598104800.0,3.81490000,3.93530000,3.60000000,3.8255,2871161.02000000,2020-08-22 14:00:00
1598108400.0,3.82410000,3.89180000,3.73950000,3.8226,1145146.61000000,2020-08-22 15:00:00
1598112000.0,3.82260000,4.00000000,3.78150000,3.9901,1508906.34000000,2020-08-22 16:00:00
1598115600.0,3.99010000,4.19000000,3.84960000,4.1582,2345558.43000000,2020-08-22 17:00:00
1598119200.0,4.16460000,4.36340000,4.09210000,4.2454,3002631.20000000,2020-08-22 18:00:00
1598122800.0,4.24540000,4.33190000,4.13300000,4.219,1150635.69000000,2020-08-22 19:00:00
1598126400.0,4.21970000,4.28880000,4.05600000,4.1,1086114.95000000,2020-08-22 20:00:00
1598130000.0,4.09820000,4.30000000,3.93330000,4.2717,1553619.38000000,2020-08-22 21:00:00
1598133600.0,4.26470000,4.30000000,4.10920000,4.2398,888151.71000000,2020-08-22 22:00:00
1598137200.0,4.23960000,4.55000000,4.23920000,4.4546,2076918.47000000,2020-08-22 23:00:00
