OpenTime,Open,High,Low,Close,Volume,Date
1600311600.0,0.30000000,15.00000000,0.30000000,3.0072,5926008.35000000,2020-09-17 03:00:00
1600315200.0,3.00010000,3.02000000,2.35210000,2.6383,3802775.00000000,2020-09-17 04:00:00
1600318800.0,2.63840000,2.91130000,2.42050000,2.5119,3180398.24000000,2020-09-17 05:00:00
1600322400.0,2.51740000,3.81110000,2.43560000,3.6961,8615407.53000000,2020-09-17 06:00:00
1600326000.0,3.69600000,4.50000000,3.31000000,3.408,8877111.17000000,2020-09-17 07:00:00
1600329600.0,3.40470000,3.63910000,2.82580000,2.8805,6427479.75000000,2020-09-17 08:00:00
1600333200.0,2.89170000,3.17850000,2.73770000,2.9656,5116411.07000000,2020-09-17 09:00:00
1600336800.0,2.96560000,3.20000000,2.88000000,2.9778,4095038.39000000,2020-09-17 10:00:00
1600340400.0,2.97010000,3.11000000,2.80010000,2.874,2548141.96000000,2020-09-17 11:00:00
1600344000.0,2.87110000,2.87580000,2.45010000,2.6022,5361570.03000000,2020-09-17 12:00:00
1600347600.0,2.60500000,2.97480000,2.55000000,2.8716,4092670.03000000,2020-09-17 13:00:00
1600351200.0,2.88100000,2.93320000,2.71680000,2.9329,2780211.99000000,2020-09-17 14:00:00
1600354800.0,2.93290000,3.26210000,2.91000000,2.9976,5348209.36000000,2020-09-17 15:00:00
1600358400.0,2.99750000,3.66990000,2.95000000,3.5909,5385474.92000000,2020-09-17 16:00:00
1600362000.0,3.59090000,3.95720000,3.48000000,3.612,8170933.75000000,2020-09-17 17:00:00
1600365600.0,3.61200000,3.76560000,3.23860000,3.4777,5842102.00000000,2020-09-17 18:00:00
1600369200.0,3.47820000,3.63940000,3.33800000,3.5044,3116620.68000000,2020-09-17 19:00:00
1600372800.0,3.50400000,3.87640000,3.46010000,3.69,3766868.94000000,2020-09-17 20:00:00
1600376400.0,3.68350000,3.77890000,3.51240000,3.5981,2320519.07000000,2020-09-17 21:00:00
1600380000.0,3.59810000,3.64670000,3.08610000,3.1912,3680804.96000000,2020-09-17 22:00:00
1600383600.0,3.19120000,3.63150000,3.18700000,3.4617,4142465.40000000,2020-09-17 23:00:00
1600387200.0,3.46180000,3.67720000,3.37230000,3.3827,2231217.57000000,2020-09-18 00:00:00
1600390800.0,3.38110000,3.43020000,3.22850000,3.3794,1488414.72000000,2020-09-18 01:00:00
1600394400.0,3.37940000,3.75000000,3.30100000,3.6616,2359747.11000000,2020-09-18 02:00:00
1600398000.0,3.66750000,4.21000000,3.55570000,4.1016,5052327.98000000,2020-09-18 03:00:00
1600401600.0,4.10000000,4.80000000,4.05310000,4.45,9080675.21000000,2020-09-18 04:00:00
1600405200.0,4.45100000,4.74000000,4.21000000,4.6013,4852634.86000000,2020-09-18 05:00:00
1600408800.0,4.60200000,5.38000000,4.45000000,5.1699,8424160.58000000,2020-09-18 06:00:00
1600412400.0,5.16140000,5.90000000,5.00000000,5.7929,8524427.38000000,2020-09-18 07:00:00
1600416000.0,5.79360000,5.79900000,4.72000000,5.1173,9435014.80000000,2020-09-18 08:00:00
1600419600.0,5.13000000,5.48030000,4.85700000,5.1668,4954962.22000000,2020-09-18 09:00:00
1600423200.0,5.16380000,5.33200000,4.97000000,5.1866,3442939.66000000,2020-09-18 10:00:00
1600426800.0,5.18860000,5.31390000,4.75180000,4.816,3690524.80000000,2020-09-18 11:00:00
1600430400.0,4.81580000,5.20500000,4.81580000,5.1516,3562783.60000000,2020-09-18 12:00:00
1600434000.0,5.15150000,5.70000000,5.13280000,5.4926,5994249.19000000,2020-09-18 13:00:00
1600437600.0,5.49280000,5.99000000,5.33500000,5.8909,6213754.27000000,2020-09-18 14:00:00
1600441200.0,5.89120000,6.78570000,5.74500000,6.3691,15622675.68000000,2020-09-18 15:00:00
1600444800.0,6.36920000,7.14000000,6.15600000,7.0675,8427949.51000000,2020-09-18 16:00:00
1600448400.0,7.06830000,7.99000000,6.76000000,7.7166,13099703.56000000,2020-09-18 17:00:00
1600452000.0,7.71780000,8.60000000,6.35060000,6.6277,19877057.01000000,2020-09-18 18:00:00
1600455600.0,6.62990000,7.11000000,6.20000000,6.4162,7169315.74000000,2020-09-18 19:00:00
1600459200.0,6.41980000,6.96900000,6.01660000,6.8228,7291896.34000000,2020-09-18 20:00:00
1600462800.0,6.82280000,7.47140000,6.53520000,7.3428,5716416.54000000,2020-09-18 21:00:00
1600466400.0,7.34290000,7.76830000,7.02430000,7.737,4992922.91000000,2020-09-18 22:00:00
1600470000.0,7.74000000,7.75000000,6.64390000,6.9,6162135.73000000,2020-09-18 23:00:00
1600473600.0,6.90000000,7.45000000,6.89990000,7.077,3420203.16000000,2020-09-19 00:00:00
1600477200.0,7.08640000,7.29010000,6.30530000,6.5771,4274020.30000000,2020-09-19 01:00:00
1600480800.0,6.57750000,6.80000000,6.20000000,6.3826,2791272.25000000,2020-09-19 02:00:00
1600484400.0,6.38260000,6.59500000,6.12500000,6.1763,2827311.10000000,2020-09-19 03:00:00
1600488000.0,6.17220000,6.80000000,6.15500000,6.6279,2811990.26000000,2020-09-19 04:00:00
1600491600.0,6.62300000,7.10000000,6.55800000,6.83,3150908.44000000,2020-09-19 05:00:00
1600495200.0,6.82980000,6.88400000,6.34070000,6.5769,2793883.77000000,2020-09-19 06:00:00
